007 Legends,11.99,17.99,34.99,047875844681047875844698,33176,https://www.pricecharting.com/game/xbox-360/007-legends 
1600 Xbox 360 Points Card,ND,ND,ND,,,https://www.pricecharting.com/game/xbox-360/1600-xbox-360-points-card 
2010 FIFA World Cup,ND,ND,ND,,,https://www.pricecharting.com/game/xbox-360/2010-fifa-world-cup 
2014 FIFA World Cup Brazil,3.99,4.99,11.99,014633730487,34814,https://www.pricecharting.com/game/xbox-360/2014-fifa-world-cup-brazil 
2K Essentials Collection,4.99,7.99,13.99,710425493423710425493539,34425,https://www.pricecharting.com/game/xbox-360/2k-essentials-collection 
2K Power Pack Collection,12.99,13.99,19.99,710425493478,34428,https://www.pricecharting.com/game/xbox-360/2k-power-pack-collection 
2K Sports Combo Pack,ND,ND,ND,,,https://www.pricecharting.com/game/xbox-360/2k-sports-combo-pack 
4000 Xbox 360 Points Card,ND,ND,ND,,,https://www.pricecharting.com/game/xbox-360/4000-xbox-360-points-card 
50 Cent: Blood on the Sand,54.99,99.99,134.99,752919550953,16326,https://www.pricecharting.com/game/xbox-360/50-cent-blood-on-the-sand 
AC/DC Live Rock Band Track Pack,4.99,4.99,8.99,014633191691014633362251,16179,https://www.pricecharting.com/game/xbox-360/acdc-live-rock-band-track-pack 
Ace Combat 6 Fires of Liberation,8.99,9.99,44.99,722674210102,10324,https://www.pricecharting.com/game/xbox-360/ace-combat-6-fires-of-liberation 
Ace Combat 6 Flightstick Bundle,54.99,79.99,144.99,722674210140,16467,https://www.pricecharting.com/game/xbox-360/ace-combat-6-flightstick-bundle 
Ace Combat Assault Horizon,4.99,5.99,16.99,722674210430722674210607,31812,https://www.pricecharting.com/game/xbox-360/ace-combat-assault-horizon 
Adrenalin Misfits,2.99,3.99,8.99,083717300984,30638,https://www.pricecharting.com/game/xbox-360/adrenalin-misfits 
Adventures of Tintin: The Game,4.99,5.99,16.99,008888526643,32372,https://www.pricecharting.com/game/xbox-360/adventures-of-tintin-the-game 
Adventure Time: Explore the Dungeon Because I Dont Know,4.99,5.99,11.99,879278002425,34582,https://www.pricecharting.com/game/xbox-360/adventure-time-explore-the-dungeon-because-i-don%27t-know 
Adventure Time: The Secret of the Nameless Kingdom,7.99,8.99,19.99,846556530154815403010514,35330,https://www.pricecharting.com/game/xbox-360/adventure-time-the-secret-of-the-nameless-kingdom 
Afro Samurai,10.99,16.99,39.99,722674210157,16240,https://www.pricecharting.com/game/xbox-360/afro-samurai 
Air Conflicts: Secret Wars,7.99,9.99,24.99,853490002661,31782,https://www.pricecharting.com/game/xbox-360/air-conflicts-secret-wars 
Air Conflicts: Vietnam,7.99,8.99,19.99,848466000352,34621,https://www.pricecharting.com/game/xbox-360/air-conflicts-vietnam 
Akai Katana,24.99,39.99,59.99,887195000004,32734,https://www.pricecharting.com/game/xbox-360/akai-katana 
Alan Wake,7.99,8.99,24.99,885370085259885370085266,21311,https://www.pricecharting.com/game/xbox-360/alan-wake 
Alan Wake Limited Edition,15.99,54.99,89.99,885370085280885370085297,21312,https://www.pricecharting.com/game/xbox-360/alan-wake-limited-edition 
Alice: Madness Returns,16.99,19.99,79.99,014633098594014633365405,31481,https://www.pricecharting.com/game/xbox-360/alice-madness-returns 
Alien: Isolation,7.99,8.99,19.99,010086680713,35136,https://www.pricecharting.com/game/xbox-360/alien-isolation 
Aliens Colonial Marines,5.99,8.99,19.99,010086680263010086680706,33833,https://www.pricecharting.com/game/xbox-360/aliens-colonial-marines 
Aliens Colonial Marines Collectors Edition,ND,ND,ND,,,https://www.pricecharting.com/game/xbox-360/aliens-colonial-marines-collectors-edition 
Aliens vs. Predator,10.99,14.99,54.99,010086680423,20427,https://www.pricecharting.com/game/xbox-360/aliens-vs-predator 
Aliens vs. Predator Hunter Edition,34.99,39.99,84.99,010086680478,20428,https://www.pricecharting.com/game/xbox-360/aliens-vs-predator-hunter-edition 
All Pro Football 2K8,16.99,19.99,44.99,710425391590710425392306,6752,https://www.pricecharting.com/game/xbox-360/all-pro-football-2k8 
Alone in the Dark,3.99,4.99,9.99,742725273894742725276611742725276451,13970,https://www.pricecharting.com/game/xbox-360/alone-in-the-dark 
Alpha Protocol,5.99,8.99,19.99,010086680287,21510,https://www.pricecharting.com/game/xbox-360/alpha-protocol 
Alvin & Chipmunks: Chipwrecked,3.99,3.99,10.99,096427017493,32253,https://www.pricecharting.com/game/xbox-360/alvin-%26-chipmunks-chipwrecked 
Amazing Spiderman,24.99,29.99,44.99,047875843493047875843509047875844261,32879,https://www.pricecharting.com/game/xbox-360/amazing-spiderman 
Amazing Spiderman 2,19.99,29.99,69.99,047875849389047875849396,34836,https://www.pricecharting.com/game/xbox-360/amazing-spiderman-2 
Americas Army True Soldiers,4.99,7.99,24.99,008888523659,10528,https://www.pricecharting.com/game/xbox-360/america%27s-army-true-soldiers 
Amped 3,4.99,5.99,29.99,710425298820,10684,https://www.pricecharting.com/game/xbox-360/amped-3 
Anarchy Reigns,4.99,5.99,7.99,010086680553,33644,https://www.pricecharting.com/game/xbox-360/anarchy-reigns 
Angry Birds Star Wars,4.99,5.99,12.99,047875767843,34467,https://www.pricecharting.com/game/xbox-360/angry-birds-star-wars 
Angry Birds Trilogy,4.99,7.99,24.99,047875767270047875767287,33109,https://www.pricecharting.com/game/xbox-360/angry-birds-trilogy 
