Alwa'92s Collection,ND,ND,ND,849172013612,2931381,https://www.pricecharting.com/game/nintendo-switch/alwa%e2%80%99s-collection 
America's Greatest Game Shows: Wheel of Fortune & Jeopardy,15.99,15.99,19.99,887256037420,53902,https://www.pricecharting.com/game/nintendo-switch/america%27s-greatest-game-shows-wheel-of-fortune-&-jeopardy 
American Fugitive,ND,ND,ND,812303016219,2290814,https://www.pricecharting.com/game/nintendo-switch/american-fugitive 
American Ninja Warrior,8.99,9.99,15.99,856131008053,57982,https://www.pricecharting.com/game/nintendo-switch/american-ninja-warrior 
Among Us: Crewmate Edition,ND,ND,ND,814290017354,2991158,https://www.pricecharting.com/game/nintendo-switch/among-us-crewmate-edition 
Among the Sleep Enhanced Edition,24.99,29.99,39.99,852103006775,58544,https://www.pricecharting.com/game/nintendo-switch/among-the-sleep-enhanced-edition 
Ancestors Legacy,14.99,15.99,19.99,850007037130,144774,https://www.pricecharting.com/game/nintendo-switch/ancestors-legacy 
Angry Alligator,ND,ND,ND,850017102446,2583364,https://www.pricecharting.com/game/nintendo-switch/angry-alligator 
Animal Crossing: New Horizons,39.99,39.99,44.99,045496596439045496596446,67626,https://www.pricecharting.com/game/nintendo-switch/animal-crossing-new-horizons 
Another Sight,24.99,29.99,39.99,,72334,https://www.pricecharting.com/game/nintendo-switch/another-sight 
Another World,24.99,34.99,39.99,819976022431,58448,https://www.pricecharting.com/game/nintendo-switch/another-world 
Another World Collector's Edition,69.99,84.99,94.99,,68674,https://www.pricecharting.com/game/nintendo-switch/another-world-collector's-edition 
Aokana: Four Rhythms Across the Blue,24.99,29.99,39.99,814737021128,144802,https://www.pricecharting.com/game/nintendo-switch/aokana-four-rhythms-across-the-blue 
Ape Out,ND,ND,ND,,2254388,https://www.pricecharting.com/game/nintendo-switch/ape-out 
Ape Out Special Reserve,ND,ND,ND,,2392924,https://www.pricecharting.com/game/nintendo-switch/ape-out-special-reserve 
Ape Out Steelbook,ND,ND,ND,,2380999,https://www.pricecharting.com/game/nintendo-switch/ape-out-steelbook 
Apex Legends Wireless Controller,ND,ND,ND,,1665340,https://www.pricecharting.com/game/nintendo-switch/apex-legends-wireless-controller 
Apex Legends: Champions Edition,ND,ND,ND,014633379747,1563575,https://www.pricecharting.com/game/nintendo-switch/apex-legends-champions-edition 
Aqua Moto Racing Utopia,12.99,14.99,19.99,810695030035,46369,https://www.pricecharting.com/game/nintendo-switch/aqua-moto-racing-utopia 
Aquatic Fantasy Wired Controller,ND,ND,ND,,1665373,https://www.pricecharting.com/game/nintendo-switch/aquatic-fantasy-wired-controller 
Aragami Shadow Edition,19.99,19.99,29.99,819335020030,61896,https://www.pricecharting.com/game/nintendo-switch/aragami-shadow-edition 
Arc of Alchemist,34.99,39.99,49.99,819976024060,117445,https://www.pricecharting.com/game/nintendo-switch/arc-of-alchemist 
Arcade Spirits,19.99,19.99,24.99,814737021050,72358,https://www.pricecharting.com/game/nintendo-switch/arcade-spirits 
Ark Survival Evolved,24.99,29.99,34.99,884095192785,53807,https://www.pricecharting.com/game/nintendo-switch/ark-survival-evolved 
Ary and the Secret of Seasons,9.99,10.99,12.99,814290015381,155092,https://www.pricecharting.com/game/nintendo-switch/ary-and-the-secret-of-seasons 
Assassin's Creed III Remastered,9.99,10.99,14.99,887256039400,58437,https://www.pricecharting.com/game/nintendo-switch/assassin's-creed-iii-remastered 
Assassin's Creed: The Rebel Collection,15.99,16.99,19.99,887256097677,67240,https://www.pricecharting.com/game/nintendo-switch/assassin's-creed-the-rebel-collection 
Astral Chain,34.99,39.99,49.99,045496596569045496596576,63250,https://www.pricecharting.com/game/nintendo-switch/astral-chain 
Astria Ascending,ND,ND,ND,,2740998,https://www.pricecharting.com/game/nintendo-switch/astria-ascending 
Atari Flashback Classics,19.99,19.99,24.99,742725911819,53714,https://www.pricecharting.com/game/nintendo-switch/atari-flashback-classics 
Atelier Dusk Trilogy Deluxe Pack,24.99,89.99,104.99,,67652,https://www.pricecharting.com/game/nintendo-switch/atelier-dusk-trilogy-deluxe-pack 
Atelier Lulua: The Scion of Arland,34.99,39.99,49.99,040198003100,58617,https://www.pricecharting.com/game/nintendo-switch/atelier-lulua-the-scion-of-arland 
Atelier Lulua: The Scion of Arland Limited Edition,154.99,179.99,234.99,,61898,https://www.pricecharting.com/game/nintendo-switch/atelier-lulua-the-scion-of-arland-limited-edition 
Atelier Lydie & Suelle,44.99,44.99,74.99,040198003001,45693,https://www.pricecharting.com/game/nintendo-switch/atelier-lydie-&-suelle 
Atelier Lydie & Suelle Limited Edition,89.99,94.99,154.99,,45718,https://www.pricecharting.com/game/nintendo-switch/atelier-lydie-&-suelle-limited-edition 
Atelier Mysterious Trilogy Deluxe Pack,ND,ND,ND,,2157955,https://www.pricecharting.com/game/nintendo-switch/atelier-mysterious-trilogy-deluxe-pack 
Atelier Ryza 2: Lost Legends & The Secret Fairy,39.99,44.99,59.99,040198003230,1078744,https://www.pricecharting.com/game/nintendo-switch/atelier-ryza-2-lost-legends-&-the-secret-fairy 
Atelier Ryza 2: Lost Legends & The Secret Fairy Limited Edition,84.99,99.99,134.99,,1078717,https://www.pricecharting.com/game/nintendo-switch/atelier-ryza-2-lost-legends-&-the-secret-fairy-limited-edition 
Atelier Ryza: Ever Darkness & the Secret Hideout Limited Edition,169.99,199.99,449.99,,65611,https://www.pricecharting.com/game/nintendo-switch/atelier-ryza-ever-darkness-&-the-secret-hideout-limited-edition 
Atelier Ryza: Ever Darkness and the Secret Hideout,39.99,44.99,54.99,040198003155,65494,https://www.pricecharting.com/game/nintendo-switch/atelier-ryza-ever-darkness-and-the-secret-hideout 
Attack on Titan 2,69.99,89.99,94.99,040198002981,45196,https://www.pricecharting.com/game/nintendo-switch/attack-on-titan-2 
Attack on Titan 2: Final Battle,129.99,179.99,339.99,040198003131,61002,https://www.pricecharting.com/game/nintendo-switch/attack-on-titan-2-final-battle 
Avicii Invector: Encore Edition,16.99,19.99,24.99,,161558,https://www.pricecharting.com/game/nintendo-switch/avicii-invector-encore-edition 
Away: Journey To The Unexpected,19.99,24.99,29.99,,72281,https://www.pricecharting.com/game/nintendo-switch/away-journey-to-the-unexpected 
Axiom Verge,24.99,34.99,79.99,853191007125,42405,https://www.pricecharting.com/game/nintendo-switch/axiom-verge 
Axiom Verge Multiverse Edition,19.99,44.99,84.99,853191007040,40533,https://www.pricecharting.com/game/nintendo-switch/axiom-verge-multiverse-edition 
Azur Lane: Crosswave,29.99,34.99,44.99,819245020694,1317381,https://www.pricecharting.com/game/nintendo-switch/azur-lane-crosswave 
Azure Striker Gunvolt Striker Pack,19.99,19.99,24.99,863784000495,40532,https://www.pricecharting.com/game/nintendo-switch/azure-striker-gunvolt-striker-pack 
Bad North,39.99,44.99,54.99,819976023568,70960,https://www.pricecharting.com/game/nintendo-switch/bad-north 
Bad North Collector's Edition,17.99,19.99,89.99,,70961,https://www.pricecharting.com/game/nintendo-switch/bad-north-collector's-edition 
Bakugan: Champions of Vestroia,12.99,15.99,19.99,883929719211,185830,https://www.pricecharting.com/game/nintendo-switch/bakugan-champions-of-vestroia 
Bakugan: Champions of Vestroia Deluxe Edition,39.99,44.99,59.99,883929719303,185832,https://www.pricecharting.com/game/nintendo-switch/bakugan-champions-of-vestroia-deluxe-edition 
Balan Wonderworld,11.99,14.99,17.99,662248924656,1108187,https://www.pricecharting.com/game/nintendo-switch/balan-wonderworld 
Baldur's Gate 1 & 2 Enhanced Edition,24.99,29.99,39.99,811949030689,63940,https://www.pricecharting.com/game/nintendo-switch/baldur's-gate-1-&-2-enhanced-edition 
Baldur's Gate 1 & 2 Enhanced Edition Collector's Pack,-.01,-.01,-.01,,70965,https://www.pricecharting.com/game/nintendo-switch/baldur's-gate-1-&-2-enhanced-edition-collector's-pack 
Banner Saga Trilogy,8.99,14.99,19.99,850942007557850942007564,50754,https://www.pricecharting.com/game/nintendo-switch/banner-saga-trilogy 
Bass Pro Shops The Strike: Championship Edition,10.99,11.99,19.99,860108001237,53715,https://www.pricecharting.com/game/nintendo-switch/bass-pro-shops-the-strike-championship-edition 
Bass Pro Shops The Strike: Championship Edition with Rod,29.99,34.99,49.99,869323000438,53716,https://www.pricecharting.com/game/nintendo-switch/bass-pro-shops-the-strike-championship-edition-with-rod 
Batman: The Telltale Series,19.99,24.99,34.99,883929603695,40491,https://www.pricecharting.com/game/nintendo-switch/batman-the-telltale-series 
Battle Axe,ND,ND,ND,658848194742,2155087,https://www.pricecharting.com/game/nintendo-switch/battle-axe 
Battle Axe Badge Edition,ND,ND,ND,658848194759,2252791,https://www.pricecharting.com/game/nintendo-switch/battle-axe-badge-edition 
Battle Chasers Nightwar,12.99,14.99,24.99,811994021045,46429,https://www.pricecharting.com/game/nintendo-switch/battle-chasers-nightwar 
Battle Chef Brigade,24.99,29.99,44.99,,58282,https://www.pricecharting.com/game/nintendo-switch/battle-chef-brigade 
Battle Chef Brigade Deluxe,29.99,34.99,44.99,819976021588,54441,https://www.pricecharting.com/game/nintendo-switch/battle-chef-brigade-deluxe 
Battle Chef Brigade Brigadier Edition,54.99,64.99,94.99,,58280,https://www.pricecharting.com/game/nintendo-switch/battle-chef-brigade-brigadier-edition 
Battle Princess Madelyn Royal Edition,49.99,59.99,74.99,819976023292,67537,https://www.pricecharting.com/game/nintendo-switch/battle-princess-madelyn-royal-edition 
Battle Worlds Kronos,11.99,12.99,16.99,811994021991,58557,https://www.pricecharting.com/game/nintendo-switch/battle-worlds-kronos 
Bayonetta 2,39.99,44.99,69.99,045496591861,45073,https://www.pricecharting.com/game/nintendo-switch/bayonetta-2 
Bee Simulator,14.99,15.99,17.99,814290015176,66508,https://www.pricecharting.com/game/nintendo-switch/bee-simulator 
Ben 10,10.99,12.99,14.99,819338020013,40499,https://www.pricecharting.com/game/nintendo-switch/ben-10 
Ben 10: Power Trip,11.99,14.99,17.99,819338021003,161179,https://www.pricecharting.com/game/nintendo-switch/ben-10-power-trip 
Bendy and the Ink Machine,15.99,16.99,19.99,814290014568,53770,https://www.pricecharting.com/game/nintendo-switch/bendy-and-the-ink-machine 
Beyond a Steel Sky Beyond a Steel Book Edition,ND,ND,ND,850024479029,3081346,https://www.pricecharting.com/game/nintendo-switch/beyond-a-steel-sky-beyond-a-steel-book-edition 
Bibi & Tina at the Horse Farm,ND,ND,ND,850017102309,2121619,https://www.pricecharting.com/game/nintendo-switch/bibi-&-tina-at-the-horse-farm 
Big Brain Academy: Brain vs. Brain,ND,ND,ND,045496597672,2916706,https://www.pricecharting.com/game/nintendo-switch/big-brain-academy-brain-vs-brain 
Big Buck Hunter Arcade,11.99,12.99,17.99,856131008008,52174,https://www.pricecharting.com/game/nintendo-switch/big-buck-hunter-arcade 
Big Rumble Boxing: Creed Champions,ND,ND,ND,816819018972,2392889,https://www.pricecharting.com/game/nintendo-switch/big-rumble-boxing-creed-champions 
Billion Road,ND,ND,ND,819976024763,1944755,https://www.pricecharting.com/game/nintendo-switch/billion-road 
Binding of Isaac Afterbirth+,39.99,54.99,84.99,867528000307,37329,https://www.pricecharting.com/game/nintendo-switch/binding-of-isaac-afterbirth+ 
Bioshock The Collection,14.99,15.99,19.99,710425556463710425556470,72307,https://www.pricecharting.com/game/nintendo-switch/bioshock-the-collection 
Bite The Bullet Collector'92s Edition,ND,ND,ND,,2245539,https://www.pricecharting.com/game/nintendo-switch/bite-the-bullet-collector%E2%80%99s-edition 
Bite the Bullet,ND,ND,ND,,2250608,https://www.pricecharting.com/game/nintendo-switch/bite-the-bullet 
Black Bird,49.99,54.99,64.99,819976023971,71955,https://www.pricecharting.com/game/nintendo-switch/black-bird 
Black Bird Collector's Edition,144.99,169.99,219.99,,627128,https://www.pricecharting.com/game/nintendo-switch/black-bird-collector's-edition 
Black Future '9188,8.99,16.99,24.99,812303013669,69035,https://www.pricecharting.com/game/nintendo-switch/black-future-%E2%80%9888 
Black Wired Controller,ND,ND,ND,617885020254,2740977,https://www.pricecharting.com/game/nintendo-switch/black-wired-controller 
Black Wireless Controller,ND,ND,ND,,1665378,https://www.pricecharting.com/game/nintendo-switch/black-wireless-controller 
Blacksad: Under the Skin,12.99,14.99,19.99,850340008316,67468,https://www.pricecharting.com/game/nintendo-switch/blacksad-under-the-skin 
Blacksad: Under the Skin Limited Edition,ND,ND,ND,,2267238,https://www.pricecharting.com/game/nintendo-switch/blacksad-under-the-skin-limited-edition 
Blade Strangers,12.99,34.99,49.99,867528000376,50076,https://www.pricecharting.com/game/nintendo-switch/blade-strangers 
Bladed Fury,19.99,19.99,29.99,897790002549,1317294,https://www.pricecharting.com/game/nintendo-switch/bladed-fury 
Blasphemous,34.99,39.99,49.99,819976023230,66960,https://www.pricecharting.com/game/nintendo-switch/blasphemous 
Blasphemous Collector's Edition,199.99,234.99,249.99,,66961,https://www.pricecharting.com/game/nintendo-switch/blasphemous-collector's-edition 
Blasphemous Deluxe Edition,ND,ND,ND,812303015885,2158329,https://www.pricecharting.com/game/nintendo-switch/blasphemous-deluxe-edition 
Blasphemous Variant Cover,39.99,44.99,79.99,,69498,https://www.pricecharting.com/game/nintendo-switch/blasphemous-variant-cover 
Blaster Master Zero,39.99,44.99,54.99,819976024428,416310,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero 
Blaster Master Zero 1 & 2 Collector's Edition,ND,ND,ND,,1426157,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-1-&-2-collector's-edition 
Blaster Master Zero 2,39.99,44.99,49.99,819976024435,416311,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-2 
Blaster Master Zero 2 Best Buy,ND,ND,ND,,2353025,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-2-best-buy 
Blaster Master Zero 2 Classic Edition,79.99,94.99,104.99,,977495,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-2-classic-edition 
Blaster Master Zero 3,ND,ND,ND,819976026019,2313351,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-3 
Blaster Master Zero 3 Classic Edition,ND,ND,ND,,2998122,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-3-classic-edition 
